Frequency (Hz),Level (dB)
43.066406,-29.352524
86.132812,-26.549685
129.199219,-17.523325
172.265625,-13.21299
215.332031,-20.900663
258.398438,-32.348438
301.464844,-30.52524
344.53125,-28.265362
387.597656,-29.553225
430.664062,-28.589682
473.730469,-38.160355
516.796875,-42.896675
559.863281,-53.562309
602.929688,-55.828087
645.996094,-45.55154
689.0625,-43.491222
732.128906,-39.904789
775.195312,-41.21627
818.261719,-45.800892
861.328125,-48.857212
904.394531,-52.049873
947.460938,-52.575176
990.527344,-49.197231
1033.59375,-49.129818
1076.660156,-46.258499
1119.726562,-48.893726
1162.792969,-60.798508
1205.859375,-58.677067
1248.925781,-50.525787
1291.992188,-51.070759
1335.058594,-53.766926
1378.125,-56.438797
1421.191406,-57.315948
1464.257812,-60.183334
1507.324219,-59.916592
1550.390625,-62.091576
1593.457031,-55.946976
1636.523438,-56.045296
1679.589844,-50.907654
1722.65625,-49.735386
1765.722656,-57.839024
1808.789062,-64.309082
1851.855469,-63.040462
1894.921875,-63.541504
1937.988281,-63.474686
1981.054688,-61.268566
2024.121094,-63.40012
2067.1875,-64.551582
2110.253906,-65.663773
2153.320312,-65.3694
2196.386719,-65.395935
2239.453125,-64.724327
2282.519531,-64.951622
2325.585938,-64.5886
2368.652344,-65.241478
2411.71875,-65.836823
2454.785156,-65.620605
2497.851562,-65.396896
2540.917969,-65.427055
2583.984375,-67.546951
2627.050781,-67.861397
2670.117188,-67.154366
2713.183594,-66.825333
2756.25,-67.5653
2799.316406,-68.171143
2842.382812,-67.595192
2885.449219,-67.030571
2928.515625,-66.388367
2971.582031,-67.201836
3014.648438,-66.969749
3057.714844,-68.172195
3100.78125,-68.879478
3143.847656,-68.636406
3186.914062,-69.236885
3229.980469,-67.732841
3273.046875,-67.545784
3316.113281,-64.273399
3359.179688,-65.825272
3402.246094,-69.264519
3445.3125,-69.061646
3488.378906,-70.126068
3531.445312,-69.666679
3574.511719,-70.263115
3617.578125,-69.78334
3660.644531,-69.473831
3703.710938,-70.336533
3746.777344,-70.312912
3789.84375,-70.266754
3832.910156,-70.446342
3875.976562,-69.449951
3919.042969,-69.437607
3962.109375,-69.6315
4005.175781,-70.170914
4048.242188,-69.705681
4091.308594,-70.439384
4134.375,-69.729095
4177.441406,-69.856689
4220.507812,-71.640556
4263.574219,-70.650398
4306.640625,-69.838852
4349.707031,-69.88102
4392.773438,-69.967186
4435.839844,-70.439072
4478.90625,-70.869995
4521.972656,-71.028625
4565.039062,-71.325676
4608.105469,-70.658386
4651.171875,-70.728577
4694.238281,-72.061752
4737.304688,-72.129585
4780.371094,-72.704193
4823.4375,-71.538696
4866.503906,-70.801025
4909.570312,-71.263824
4952.636719,-71.237915
4995.703125,-71.882187
5038.769531,-71.127899
5081.835938,-70.838799
5124.902344,-72.134514
5167.96875,-71.919006
5211.035156,-72.552246
5254.101562,-71.674583
5297.167969,-71.925621
5340.234375,-72.078331
5383.300781,-72.731041
5426.367188,-73.017258
5469.433594,-72.963493
5512.5,-73.575935
5555.566406,-73.395462
5598.632812,-73.831802
5641.699219,-74.028458
5684.765625,-73.466019
5727.832031,-73.153503
5770.898438,-72.570679
5813.964844,-72.701981
5857.03125,-72.352051
5900.097656,-72.705376
5943.164062,-72.055397
5986.230469,-72.910378
6029.296875,-72.60936
6072.363281,-72.830246
6115.429688,-73.772705
6158.496094,-72.923126
6201.5625,-73.329842
6244.628906,-72.338562
6287.695312,-72.703972
6330.761719,-73.424721
6373.828125,-73.481323
6416.894531,-73.188576
6459.960938,-73.091301
6503.027344,-73.253662
6546.09375,-74.448837
6589.160156,-74.567917
6632.226562,-74.217728
6675.292969,-73.879089
6718.359375,-73.779778
6761.425781,-74.463127
6804.492188,-74.611366
6847.558594,-74.699715
6890.625,-74.082336
6933.691406,-73.411613
6976.757812,-74.473488
7019.824219,-75.663551
7062.890625,-74.933914
7105.957031,-74.978447
7149.023438,-75.050468
7192.089844,-74.762711
7235.15625,-74.724197
7278.222656,-75.224403
7321.289062,-75.488312
7364.355469,-75.561836
7407.421875,-76.267853
7450.488281,-75.708107
7493.554688,-74.197937
7536.621094,-74.506271
7579.6875,-75.251938
7622.753906,-75.295959
7665.820312,-75.545715
7708.886719,-75.038765
7751.953125,-75.419052
7795.019531,-75.99826
7838.085938,-74.786324
7881.152344,-74.59082
7924.21875,-74.463058
7967.285156,-74.866196
8010.351562,-75.432144
8053.417969,-76.446434
8096.484375,-75.725212
8139.550781,-75.645378
8182.617188,-75.927925
8225.683594,-75.297295
8268.75,-75.591164
8311.816406,-75.659386
8354.882812,-75.011658
8397.949219,-73.912727
8441.015625,-73.847488
8484.082031,-75.814995
8527.148438,-76.369568
8570.214844,-75.471352
8613.28125,-75.473732
8656.347656,-76.171738
8699.414062,-75.369408
8742.480469,-75.336288
8785.546875,-75.408173
8828.613281,-76.408859
8871.679688,-75.67057
8914.746094,-73.508766
8957.8125,-73.730888
9000.878906,-74.965652
9043.945312,-75.819733
9087.011719,-75.364975
9130.078125,-74.353607
9173.144531,-74.260483
9216.210938,-74.917015
9259.277344,-75.574028
9302.34375,-75.701591
9345.410156,-75.161118
9388.476562,-74.312958
9431.542969,-74.908836
9474.609375,-75.409523
9517.675781,-75.788651
9560.742188,-76.611229
9603.808594,-76.025208
9646.875,-76.468689
9689.941406,-77.568718
9733.007812,-77.43148
9776.074219,-76.495872
9819.140625,-75.901688
9862.207031,-75.898216
9905.273438,-74.498306
9948.339844,-72.86235
9991.40625,-73.78933
10034.47266,-74.873703
10077.53906,-75.15081
10120.60547,-75.013809
10163.67188,-73.780495
10206.73828,-73.227486
10249.80469,-73.198227
10292.87109,-73.742409
10335.9375,-75.883987
10379.00391,-75.893967
10422.07031,-75.813263
10465.13672,-75.811111
10508.20313,-76.411064
10551.26953,-76.195747
10594.33594,-76.040215
10637.40234,-75.99102
10680.46875,-76.867546
10723.53516,-76.284012
10766.60156,-76.489784
10809.66797,-75.708954
10852.73438,-75.350533
10895.80078,-76.220963
10938.86719,-76.204689
10981.93359,-75.857399
11025,-74.535339
11068.06641,-74.345139
11111.13281,-74.161743
11154.19922,-74.362671
11197.26563,-73.682434
11240.33203,-74.786026
11283.39844,-76.0326
11326.46484,-76.097603
11369.53125,-74.953934
11412.59766,-75.314072
11455.66406,-75.419968
11498.73047,-76.544975
11541.79688,-75.314674
11584.86328,-76.101768
11627.92969,-76.555382
11670.99609,-75.939079
11714.0625,-75.740372
11757.12891,-75.839325
11800.19531,-76.853012
11843.26172,-75.855896
11886.32813,-75.103996
11929.39453,-75.63018
11972.46094,-75.689476
12015.52734,-76.074074
12058.59375,-75.608788
12101.66016,-75.701782
12144.72656,-76.056473
12187.79297,-75.338425
12230.85938,-73.395676
12273.92578,-73.355598
12316.99219,-73.547684
12360.05859,-72.672264
12403.125,-72.907829
12446.19141,-70.690132
12489.25781,-69.391502
12532.32422,-71.860352
12575.39063,-73.542717
12618.45703,-73.990356
12661.52344,-74.535202
12704.58984,-74.698196
12747.65625,-74.119865
12790.72266,-73.773598
12833.78906,-74.584206
12876.85547,-75.100365
12919.92188,-76.2901
12962.98828,-75.558022
13006.05469,-74.761696
13049.12109,-74.007683
13092.1875,-74.949684
13135.25391,-75.634033
13178.32031,-74.295609
13221.38672,-74.498077
13264.45313,-75.333374
13307.51953,-75.177101
13350.58594,-74.649796
13393.65234,-75.07222
13436.71875,-74.282394
13479.78516,-73.012108
13522.85156,-72.975403
13565.91797,-73.125496
13608.98438,-73.901306
13652.05078,-73.749298
13695.11719,-72.029007
13738.18359,-71.4356
13781.25,-74.102386
13824.31641,-73.587059
13867.38281,-72.96859
13910.44922,-72.800163
13953.51563,-74.338707
13996.58203,-73.000763
14039.64844,-71.212341
14082.71484,-72.531334
14125.78125,-73.976295
14168.84766,-75.009964
14211.91406,-74.2117
14254.98047,-74.185295
14298.04688,-73.532616
14341.11328,-72.940422
14384.17969,-71.825943
14427.24609,-72.909203
14470.3125,-72.971092
14513.37891,-72.322533
14556.44531,-71.629456
14599.51172,-70.810455
14642.57813,-70.799515
14685.64453,-70.791519
14728.71094,-71.910507
14771.77734,-69.953247
14814.84375,-70.963158
14857.91016,-71.750076
14900.97656,-72.217186
14944.04297,-72.411995
14987.10938,-70.04493
15030.17578,-68.541855
15073.24219,-69.412178
15116.30859,-69.780396
15159.375,-70.16201
15202.44141,-68.646385
15245.50781,-68.088585
15288.57422,-69.911629
15331.64063,-71.174461
15374.70703,-70.573349
15417.77344,-69.194191
15460.83984,-67.05233
15503.90625,-68.474251
15546.97266,-68.859497
15590.03906,-67.57679
15633.10547,-67.909264
15676.17188,-66.704231
15719.23828,-68.304237
15762.30469,-70.020523
15805.37109,-68.991753
15848.4375,-69.091927
15891.50391,-69.124596
15934.57031,-69.718063
15977.63672,-69.025299
16020.70313,-67.693237
16063.76953,-68.148956
16106.83594,-69.442032
16149.90234,-68.311371
16192.96875,-67.286469
16236.03516,-66.04081
16279.10156,-67.491173
16322.16797,-67.627106
16365.23438,-68.274818
16408.30078,-68.645271
16451.36719,-68.439507
16494.43359,-68.575691
16537.5,-68.063805
16580.56641,-69.174637
16623.63281,-68.777802
16666.69922,-68.294029
16709.76563,-68.274315
16752.83203,-67.517479
16795.89844,-67.952072
16838.96484,-67.634308
16882.03125,-66.528442
16925.09766,-67.077492
16968.16406,-69.245209
17011.23047,-69.212845
17054.29688,-67.373146
17097.36328,-66.983727
17140.42969,-69.509377
17183.49609,-69.886772
17226.5625,-69.602226
17269.62891,-70.211052
17312.69531,-70.877426
17355.76172,-70.244034
17398.82813,-70.464874
17441.89453,-71.065498
17484.96094,-71.757858
17528.02734,-72.931076
17571.09375,-72.730171
17614.16016,-71.455421
17657.22656,-71.80143
17700.29297,-71.530159
17743.35938,-71.618431
17786.42578,-72.77346
17829.49219,-72.737701
17872.55859,-73.419479
17915.625,-74.21299
17958.69141,-74.452042
18001.75781,-73.381958
18044.82422,-72.777107
18087.89063,-72.748154
18130.95703,-72.853905
18174.02344,-74.00576
18217.08984,-74.703835
18260.15625,-73.973167
18303.22266,-73.308754
18346.28906,-72.434029
18389.35547,-70.83522
18432.42188,-72.376923
18475.48828,-73.167816
18518.55469,-72.429283
18561.62109,-72.665451
18604.6875,-71.709503
18647.75391,-72.307945
18690.82031,-74.847427
18733.88672,-75.730713
18776.95313,-74.540909
18820.01953,-74.24157
18863.08594,-74.355728
18906.15234,-75.104897
18949.21875,-75.711609
18992.28516,-75.945312
19035.35156,-74.29409
19078.41797,-73.628555
19121.48438,-74.512115
