Frequency (Hz)	Level (dB)
43.066406	-30.614862
86.132812	-16.517403
129.199219	-16.271803
172.265625	-25.920559
215.332031	-21.156866
258.398438	-26.313066
301.464844	-28.458778
344.531250	-27.340094
387.597656	-35.171772
430.664062	-29.779385
473.730469	-34.136017
516.796875	-42.177940
559.863281	-40.092880
602.929688	-46.607422
645.996094	-39.709000
689.062500	-43.055138
732.128906	-39.128757
775.195312	-36.199894
818.261719	-45.493416
861.328125	-52.918785
904.394531	-54.883545
947.460938	-58.825298
990.527344	-55.355331
1033.593750	-53.559731
1076.660156	-42.266232
1119.726562	-43.127262
1162.792969	-53.033127
1205.859375	-48.465401
1248.925781	-53.768291
1291.992188	-51.552807
1335.058594	-50.563690
1378.125000	-60.856266
1421.191406	-63.988644
1464.257812	-65.216583
1507.324219	-59.374371
1550.390625	-56.511314
1593.457031	-61.845253
1636.523438	-57.602665
1679.589844	-59.496670
1722.656250	-65.510330
1765.722656	-62.602737
1808.789062	-65.212837
1851.855469	-66.321022
1894.921875	-66.355789
1937.988281	-65.337692
1981.054688	-62.104031
2024.121094	-63.577217
2067.187500	-66.043907
2110.253906	-65.475388
2153.320312	-66.244362
2196.386719	-65.973785
2239.453125	-65.880577
2282.519531	-67.575226
2325.585938	-67.123619
2368.652344	-67.339966
2411.718750	-67.958572
2454.785156	-68.521690
2497.851562	-69.402092
2540.917969	-69.509438
2583.984375	-70.397545
2627.050781	-70.788391
2670.117188	-70.361435
2713.183594	-69.340263
2756.250000	-69.741913
2799.316406	-70.867165
2842.382812	-70.440170
2885.449219	-70.622894
2928.515625	-71.020691
2971.582031	-71.042442
3014.648438	-69.887428
3057.714844	-68.721756
3100.781250	-71.215416
3143.847656	-71.612755
3186.914062	-71.622795
3229.980469	-71.530228
3273.046875	-72.092453
3316.113281	-71.805145
3359.179688	-71.993271
3402.246094	-71.550255
3445.312500	-70.866737
3488.378906	-71.583549
3531.445312	-71.400330
3574.511719	-72.602844
3617.578125	-72.304077
3660.644531	-71.476440
3703.710938	-71.536919
3746.777344	-71.865677
3789.843750	-72.832764
3832.910156	-73.001961
3875.976562	-72.284950
3919.042969	-71.729187
3962.109375	-72.464996
4005.175781	-72.930176
4048.242188	-72.729553
4091.308594	-72.756287
4134.375000	-72.509094
4177.441406	-72.907211
4220.507812	-73.412560
4263.574219	-73.578781
4306.640625	-73.734489
4349.707031	-73.886627
4392.773438	-73.892982
4435.839844	-73.403580
4478.906250	-73.093979
4521.972656	-73.732018
4565.039062	-73.214142
4608.105469	-73.063980
4651.171875	-74.152435
4694.238281	-74.117104
4737.304688	-73.688057
4780.371094	-72.998924
4823.437500	-73.626762
4866.503906	-74.035820
4909.570312	-74.004410
4952.636719	-74.533760
4995.703125	-74.228416
5038.769531	-73.703545
5081.835938	-73.917770
5124.902344	-73.560547
5167.968750	-73.558983
5211.035156	-72.978645
5254.101562	-73.444672
5297.167969	-74.801712
5340.234375	-74.218750
5383.300781	-74.633957
5426.367188	-74.996460
5469.433594	-75.353882
5512.500000	-75.329498
5555.566406	-75.984207
5598.632812	-74.990051
5641.699219	-75.154320
5684.765625	-76.210220
5727.832031	-76.363220
5770.898438	-74.794281
5813.964844	-75.833069
5857.031250	-76.429039
5900.097656	-75.724739
5943.164062	-75.301399
5986.230469	-75.022903
6029.296875	-75.872322
6072.363281	-76.055344
6115.429688	-76.327408
6158.496094	-76.122093
6201.562500	-75.588089
6244.628906	-75.439903
6287.695312	-75.817795
6330.761719	-76.330734
6373.828125	-75.785797
6416.894531	-75.426010
6459.960938	-75.906555
6503.027344	-76.436562
6546.093750	-75.679298
6589.160156	-75.629646
6632.226562	-75.741020
6675.292969	-76.324104
6718.359375	-76.706161
6761.425781	-76.360390
6804.492188	-76.636497
6847.558594	-76.901978
6890.625000	-76.532936
6933.691406	-76.862602
6976.757812	-76.068832
7019.824219	-75.984795
7062.890625	-76.344933
7105.957031	-76.698639
7149.023438	-76.169868
7192.089844	-76.147469
7235.156250	-76.498352
7278.222656	-75.973984
7321.289062	-75.627190
7364.355469	-75.922630
7407.421875	-77.171066
7450.488281	-76.827164
7493.554688	-75.698639
7536.621094	-75.449867
7579.687500	-76.730461
7622.753906	-75.867828
7665.820312	-75.726013
7708.886719	-75.680573
7751.953125	-75.122116
7795.019531	-76.112106
7838.085938	-76.465202
7881.152344	-76.286064
7924.218750	-76.618713
7967.285156	-76.092712
8010.351562	-75.769249
8053.417969	-76.028564
8096.484375	-76.383087
8139.550781	-76.848503
8182.617188	-77.367470
8225.683594	-77.734634
8268.750000	-77.389473
8311.816406	-76.633293
8354.882812	-77.118820
8397.949219	-76.442162
8441.015625	-76.195801
8484.082031	-76.733536
8527.148438	-76.427834
8570.214844	-77.039192
8613.281250	-76.942192
8656.347656	-76.448074
8699.414062	-76.985573
8742.480469	-77.384766
8785.546875	-77.171814
8828.613281	-76.762215
8871.679688	-77.638367
8914.746094	-77.813431
8957.812500	-77.312378
9000.878906	-77.368530
9043.945312	-76.391754
9087.011719	-76.880760
9130.078125	-76.810371
9173.144531	-76.950089
9216.210938	-77.687370
9259.277344	-77.443954
9302.343750	-77.581474
9345.410156	-77.170341
9388.476562	-77.505997
9431.542969	-76.903923
9474.609375	-76.438805
9517.675781	-77.758354
9560.742188	-77.564545
9603.808594	-77.145302
9646.875000	-77.309883
9689.941406	-76.384750
9733.007812	-76.089958
9776.074219	-76.648170
9819.140625	-76.792236
9862.207031	-76.808815
9905.273438	-76.175667
9948.339844	-76.833946
9991.406250	-77.914955
10034.472656	-77.426476
10077.539062	-76.798080
10120.605469	-76.995224
10163.671875	-77.343735
10206.738281	-77.399750
10249.804688	-77.065475
10292.871094	-77.246613
10335.937500	-77.677818
10379.003906	-78.002960
10422.070312	-76.753708
10465.136719	-75.414978
10508.203125	-75.186989
10551.269531	-76.296753
10594.335938	-77.541481
10637.402344	-77.030739
10680.468750	-77.207253
10723.535156	-77.678589
10766.601562	-77.311035
10809.667969	-77.417305
10852.734375	-77.006889
10895.800781	-76.612839
10938.867188	-76.755379
10981.933594	-77.219574
11025.000000	-76.338371
11068.066406	-77.109039
11111.132812	-77.683769
11154.199219	-77.312737
11197.265625	-76.811813
11240.332031	-76.089645
11283.398438	-77.542290
11326.464844	-77.351997
11369.531250	-76.919449
11412.597656	-76.754044
11455.664062	-76.343262
11498.730469	-76.281410
11541.796875	-76.433891
11584.863281	-77.670685
11627.929688	-78.057991
11670.996094	-77.245995
11714.062500	-76.962570
11757.128906	-76.816071
11800.195312	-77.057823
11843.261719	-77.402824
11886.328125	-76.778450
11929.394531	-77.449356
11972.460938	-77.544762
12015.527344	-77.428459
12058.593750	-76.522110
12101.660156	-77.179512
12144.726562	-76.462204
12187.792969	-75.874947
12230.859375	-76.434135
12273.925781	-76.629509
12316.992188	-76.964432
12360.058594	-77.236610
12403.125000	-77.028320
12446.191406	-76.500145
12489.257812	-76.210335
12532.324219	-76.067337
12575.390625	-76.092972
12618.457031	-76.213783
12661.523438	-76.250465
12704.589844	-76.333549
12747.656250	-76.028748
12790.722656	-76.789673
12833.789062	-77.928940
12876.855469	-76.415642
12919.921875	-76.786766
12962.988281	-76.357933
13006.054688	-74.753769
13049.121094	-75.142670
13092.187500	-75.893623
13135.253906	-76.047401
13178.320312	-76.082657
13221.386719	-76.182297
13264.453125	-76.476830
13307.519531	-75.237228
13350.585938	-74.950798
13393.652344	-75.726105
13436.718750	-76.225136
13479.785156	-75.863808
13522.851562	-74.936577
13565.917969	-75.590492
13608.984375	-75.606247
13652.050781	-76.050621
13695.117188	-76.621048
13738.183594	-75.420677
13781.250000	-75.105850
13824.316406	-75.443535
13867.382812	-76.390923
13910.449219	-75.969994
13953.515625	-75.590607
13996.582031	-75.154213
14039.648438	-74.402702
14082.714844	-74.277855
14125.781250	-73.964439
14168.847656	-74.015755
14211.914062	-74.638374
14254.980469	-74.250114
14298.046875	-73.578445
14341.113281	-73.378693
14384.179688	-73.468689
14427.246094	-73.210350
14470.312500	-73.678833
14513.378906	-74.344238
14556.445312	-74.249664
14599.511719	-73.658180
14642.578125	-73.463074
14685.644531	-72.977455
14728.710938	-72.667526
14771.777344	-74.097023
14814.843750	-74.182549
14857.910156	-74.290054
14900.976562	-73.410431
14944.042969	-72.601135
14987.109375	-72.440941
15030.175781	-73.012100
15073.242188	-73.188126
15116.308594	-73.453957
15159.375000	-72.439064
15202.441406	-72.945534
15245.507812	-70.837502
15288.574219	-71.456886
15331.640625	-70.984108
15374.707031	-70.604073
15417.773438	-71.164536
15460.839844	-71.419052
15503.906250	-72.169151
15546.972656	-71.947060
15590.039062	-70.857018
15633.105469	-70.679596
15676.171875	-70.617088
15719.238281	-70.863503
15762.304688	-71.471245
15805.371094	-71.377121
15848.437500	-71.424294
15891.503906	-70.471916
15934.570312	-70.697060
15977.636719	-71.242554
16020.703125	-71.145645
16063.769531	-70.671989
16106.835938	-69.332619
16149.902344	-68.628052
16192.968750	-69.119835
16236.035156	-69.636757
16279.101562	-70.132408
16322.167969	-70.032021
16365.234375	-69.790657
16408.300781	-70.591660
16451.367188	-70.876038
16494.433594	-69.474457
16537.500000	-68.249397
16580.566406	-68.339035
16623.632812	-68.790115
16666.699219	-68.485512
16709.765625	-69.275673
16752.832031	-69.579613
16795.898438	-69.844604
16838.964844	-70.737053
16882.031250	-70.674507
16925.097656	-72.001427
16968.164062	-72.426674
17011.230469	-71.464607
17054.296875	-71.463852
17097.363281	-72.865570
17140.429688	-74.149338
17183.496094	-72.811516
17226.562500	-72.013161
17269.628906	-72.179863
17312.695312	-72.467552
17355.761719	-73.038689
17398.828125	-72.623917
17441.894531	-71.190033
17484.960938	-70.705009
17528.027344	-71.479721
17571.093750	-72.056038
17614.160156	-74.016853
17657.226562	-73.743523
17700.292969	-73.636826
17743.359375	-74.210258
17786.425781	-74.433441
17829.492188	-74.349930
17872.558594	-74.705589
17915.625000	-74.739464
17958.691406	-74.399834
18001.757812	-74.693329
18044.824219	-75.311569
18087.890625	-74.183456
18130.957031	-73.699287
18174.023438	-74.060921
18217.089844	-74.048096
18260.156250	-73.722923
18303.222656	-73.267647
18346.289062	-73.604179
18389.355469	-73.507347
18432.421875	-75.075356
18475.488281	-75.056839
18518.554688	-74.759140
18561.621094	-75.164970
18604.687500	-74.884857
18647.753906	-75.925964
18690.820312	-75.722450
18733.886719	-75.044647
18776.953125	-74.220932
18820.019531	-74.551811
18863.085938	-75.112411
18906.152344	-75.722778
18949.218750	-75.791473
