Frequency (Hz)	Level (dB)
43.066406	-40.590706
86.132812	-28.706928
129.199219	-17.662952
172.265625	-18.851852
215.332031	-34.297741
258.398438	-21.868273
301.464844	-18.386181
344.531250	-26.920446
387.597656	-28.363943
430.664062	-19.829653
473.730469	-23.455946
516.796875	-46.163124
559.863281	-43.966213
602.929688	-42.935253
645.996094	-53.694820
689.062500	-51.384743
732.128906	-45.927277
775.195312	-51.436691
818.261719	-53.171555
861.328125	-41.795429
904.394531	-42.833378
947.460938	-56.647053
990.527344	-48.309441
1033.593750	-44.923969
1076.660156	-52.641117
1119.726562	-50.977173
1162.792969	-42.401428
1205.859375	-45.714493
1248.925781	-61.742798
1291.992188	-58.574665
1335.058594	-57.261497
1378.125000	-60.822716
1421.191406	-58.167618
1464.257812	-53.032459
1507.324219	-58.054131
1550.390625	-61.811714
1593.457031	-52.133900
1636.523438	-52.788338
1679.589844	-61.914162
1722.656250	-57.419819
1765.722656	-53.720165
1808.789062	-59.621674
1851.855469	-65.099762
1894.921875	-61.234642
1937.988281	-63.166748
1981.054688	-64.453690
2024.121094	-63.850124
2067.187500	-63.051250
2110.253906	-65.056961
2153.320312	-65.398865
2196.386719	-59.458218
2239.453125	-61.993214
2282.519531	-67.381889
2325.585938	-64.926414
2368.652344	-64.307961
2411.718750	-67.257294
2454.785156	-66.826691
2497.851562	-65.964050
2540.917969	-65.904953
2583.984375	-67.937943
2627.050781	-68.496498
2670.117188	-68.914330
2713.183594	-68.725838
2756.250000	-67.748940
2799.316406	-66.691116
2842.382812	-68.347458
2885.449219	-69.207436
2928.515625	-66.042488
2971.582031	-65.814949
3014.648438	-69.316933
3057.714844	-67.146095
3100.781250	-63.196354
3143.847656	-64.902328
3186.914062	-66.529549
3229.980469	-66.210457
3273.046875	-69.381500
3316.113281	-70.101807
3359.179688	-70.339294
3402.246094	-68.177681
3445.312500	-70.459526
3488.378906	-71.310555
3531.445312	-62.660088
3574.511719	-62.305187
3617.578125	-71.058578
3660.644531	-71.886368
3703.710938	-70.077972
3746.777344	-70.986130
3789.843750	-72.387756
3832.910156	-72.015068
3875.976562	-71.574814
3919.042969	-72.827477
3962.109375	-72.127579
4005.175781	-70.932182
4048.242188	-72.128090
4091.308594	-72.977211
4134.375000	-71.950951
4177.441406	-71.203735
4220.507812	-71.864845
4263.574219	-72.281616
4306.640625	-71.750458
4349.707031	-71.822021
4392.773438	-72.358154
4435.839844	-73.308144
4478.906250	-73.338669
4521.972656	-73.945732
4565.039062	-74.220551
4608.105469	-73.683228
4651.171875	-73.941711
4694.238281	-74.320755
4737.304688	-73.102715
4780.371094	-72.717934
4823.437500	-74.636955
4866.503906	-74.463181
4909.570312	-74.273247
4952.636719	-74.126320
4995.703125	-73.824158
5038.769531	-74.533241
5081.835938	-73.403999
5124.902344	-73.460693
5167.968750	-73.344398
5211.035156	-73.998459
5254.101562	-74.067657
5297.167969	-74.807152
5340.234375	-75.211403
5383.300781	-75.342514
5426.367188	-76.238487
5469.433594	-76.498482
5512.500000	-75.384811
5555.566406	-73.316437
5598.632812	-74.207726
5641.699219	-75.434769
5684.765625	-74.996887
5727.832031	-73.340332
5770.898438	-74.412102
5813.964844	-75.446350
5857.031250	-75.469368
5900.097656	-75.348541
5943.164062	-75.024437
5986.230469	-74.590370
6029.296875	-74.389679
6072.363281	-74.142021
6115.429688	-74.747643
6158.496094	-74.887054
6201.562500	-74.237419
6244.628906	-73.189606
6287.695312	-74.627632
6330.761719	-74.556473
6373.828125	-74.084366
6416.894531	-75.240051
6459.960938	-75.440224
6503.027344	-75.266769
6546.093750	-75.437828
6589.160156	-76.300781
6632.226562	-76.055046
6675.292969	-75.790352
6718.359375	-76.134430
6761.425781	-76.363182
6804.492188	-76.554382
6847.558594	-75.531059
6890.625000	-76.833557
6933.691406	-77.342598
6976.757812	-77.079285
7019.824219	-76.258614
7062.890625	-76.265427
7105.957031	-76.450043
7149.023438	-76.026222
7192.089844	-76.118484
7235.156250	-77.028625
7278.222656	-77.170975
7321.289062	-76.588554
7364.355469	-76.998604
7407.421875	-77.094894
7450.488281	-77.613441
7493.554688	-77.520691
7536.621094	-76.683357
7579.687500	-76.310356
7622.753906	-76.268776
7665.820312	-76.202232
7708.886719	-75.596802
7751.953125	-75.997185
7795.019531	-75.881058
7838.085938	-76.453835
7881.152344	-76.512764
7924.218750	-76.850212
7967.285156	-76.593460
8010.351562	-76.354073
8053.417969	-76.683678
8096.484375	-76.804947
8139.550781	-76.392776
8182.617188	-75.736465
8225.683594	-75.912361
8268.750000	-76.741768
8311.816406	-76.430992
8354.882812	-76.601585
8397.949219	-76.919975
8441.015625	-77.341217
8484.082031	-76.984146
8527.148438	-77.102722
8570.214844	-77.591095
8613.281250	-77.905731
8656.347656	-77.634789
8699.414062	-77.498444
8742.480469	-77.342155
8785.546875	-77.632668
8828.613281	-77.469925
8871.679688	-76.544373
8914.746094	-77.371468
8957.812500	-78.557091
9000.878906	-77.933449
9043.945312	-77.087364
9087.011719	-77.126312
9130.078125	-77.761765
9173.144531	-77.055817
9216.210938	-76.565552
9259.277344	-77.162262
9302.343750	-77.287422
9345.410156	-77.894661
9388.476562	-78.608032
9431.542969	-76.404602
9474.609375	-76.185944
9517.675781	-77.418190
9560.742188	-77.987068
9603.808594	-78.103378
9646.875000	-78.189064
9689.941406	-77.533730
9733.007812	-77.749519
9776.074219	-77.200066
9819.140625	-77.098572
9862.207031	-77.784424
9905.273438	-77.816452
9948.339844	-76.752426
9991.406250	-76.665314
10034.472656	-77.850235
10077.539062	-78.831711
10120.605469	-78.507881
10163.671875	-78.303490
10206.738281	-77.897163
10249.804688	-77.554489
10292.871094	-77.601295
10335.937500	-77.635941
10379.003906	-77.936577
10422.070312	-76.900620
10465.136719	-76.692719
10508.203125	-77.606865
10551.269531	-76.724747
10594.335938	-76.754456
10637.402344	-77.329308
10680.468750	-78.095619
10723.535156	-78.970421
10766.601562	-78.407578
10809.667969	-76.839455
10852.734375	-76.992889
10895.800781	-77.686638
10938.867188	-77.771393
10981.933594	-78.660454
11025.000000	-79.331924
11068.066406	-78.697807
11111.132812	-77.882339
11154.199219	-77.872307
11197.265625	-77.307060
11240.332031	-77.430779
11283.398438	-77.881676
11326.464844	-77.976738
11369.531250	-77.732048
11412.597656	-76.940887
11455.664062	-77.204018
11498.730469	-77.302330
11541.796875	-77.042549
11584.863281	-77.700386
11627.929688	-77.059517
11670.996094	-77.512680
11714.062500	-77.818993
11757.128906	-77.169388
11800.195312	-77.399361
11843.261719	-77.243095
11886.328125	-77.302414
11929.394531	-78.047813
11972.460938	-78.286880
12015.527344	-78.340691
12058.593750	-78.147682
12101.660156	-77.232796
12144.726562	-77.013046
12187.792969	-76.820007
12230.859375	-77.631912
12273.925781	-77.846703
12316.992188	-77.407333
12360.058594	-76.436852
12403.125000	-76.295143
12446.191406	-76.744507
12489.257812	-76.977432
12532.324219	-77.181015
12575.390625	-76.743744
12618.457031	-76.886536
12661.523438	-77.006699
12704.589844	-77.445595
12747.656250	-77.484558
12790.722656	-76.470665
12833.789062	-76.472237
12876.855469	-76.584694
12919.921875	-75.713516
12962.988281	-73.442200
13006.054688	-74.703194
13049.121094	-76.741409
13092.187500	-76.871399
13135.253906	-76.860863
13178.320312	-77.101006
13221.386719	-76.957100
13264.453125	-76.947571
13307.519531	-76.267517
13350.585938	-74.134361
13393.652344	-73.882645
13436.718750	-76.387497
13479.785156	-76.535545
13522.851562	-75.440674
13565.917969	-76.871376
13608.984375	-76.539230
13652.050781	-76.495171
13695.117188	-77.362267
13738.183594	-76.747513
13781.250000	-76.600723
13824.316406	-76.215004
13867.382812	-76.638306
13910.449219	-76.442368
13953.515625	-74.403328
13996.582031	-74.205078
14039.648438	-75.515152
14082.714844	-76.122475
14125.781250	-75.344101
14168.847656	-75.473160
14211.914062	-75.989586
14254.980469	-74.552040
14298.046875	-74.924812
14341.113281	-74.353935
14384.179688	-74.235321
14427.246094	-75.063141
14470.312500	-75.105522
14513.378906	-75.018295
14556.445312	-75.251312
14599.511719	-74.893890
14642.578125	-73.914734
14685.644531	-72.912788
14728.710938	-70.765266
14771.777344	-72.487389
14814.843750	-75.049187
14857.910156	-74.023750
14900.976562	-73.386581
14944.042969	-74.544945
14987.109375	-75.457413
15030.175781	-74.060455
15073.242188	-72.707291
15116.308594	-73.739021
15159.375000	-73.793900
15202.441406	-72.343910
15245.507812	-73.074738
15288.574219	-73.385986
15331.640625	-73.441383
15374.707031	-73.321297
15417.773438	-73.866570
15460.839844	-73.669518
15503.906250	-72.354797
15546.972656	-71.441528
15590.039062	-71.403519
15633.105469	-72.042023
15676.171875	-71.997116
15719.238281	-72.662872
15762.304688	-72.491127
15805.371094	-73.104286
15848.437500	-72.856537
15891.503906	-72.436142
15934.570312	-72.961670
15977.636719	-72.102844
16020.703125	-71.855751
16063.769531	-72.660866
16106.835938	-72.535736
16149.902344	-71.800026
16192.968750	-70.967697
16236.035156	-70.787971
16279.101562	-71.488289
16322.167969	-71.331245
16365.234375	-71.425667
16408.300781	-71.835754
16451.367188	-71.509796
16494.433594	-71.592476
16537.500000	-70.894264
16580.566406	-70.994232
16623.632812	-71.768013
16666.699219	-71.652924
16709.765625	-71.398247
16752.832031	-72.296791
16795.898438	-70.905106
16838.964844	-71.181152
16882.031250	-71.989578
16925.097656	-72.862587
16968.164062	-73.724426
17011.230469	-73.999069
17054.296875	-73.905411
17097.363281	-74.220100
17140.429688	-73.612694
17183.496094	-74.046379
17226.562500	-74.194916
17269.628906	-74.530632
17312.695312	-73.927345
17355.761719	-74.450081
17398.828125	-74.746674
17441.894531	-73.216049
17484.960938	-72.720352
17528.027344	-74.099396
17571.093750	-74.450356
17614.160156	-75.056099
17657.226562	-75.439560
17700.292969	-75.196060
17743.359375	-74.845001
17786.425781	-75.525002
17829.492188	-76.230186
17872.558594	-76.033264
17915.625000	-75.844795
17958.691406	-76.171181
18001.757812	-75.696831
18044.824219	-76.593086
18087.890625	-75.771332
18130.957031	-74.958672
18174.023438	-76.063347
18217.089844	-76.852592
18260.156250	-76.011620
18303.222656	-75.124489
18346.289062	-75.706726
18389.355469	-76.195724
18432.421875	-76.322083
18475.488281	-76.513397
18518.554688	-75.486946
18561.621094	-76.216194
18604.687500	-76.070694
18647.753906	-75.512215
18690.820312	-75.675438
18733.886719	-75.979088
18776.953125	-75.209877
18820.019531	-75.255325
18863.085938	-76.303581
18906.152344	-76.834106
18949.218750	-76.242584
18992.285156	-75.889328
19035.351562	-76.038727
19078.417969	-76.513191
19121.484375	-75.800560
19164.550781	-75.690720
19207.617188	-75.854309
19250.683594	-75.593323
19293.750000	-75.901321
19336.816406	-75.719200
19379.882812	-76.204865
19422.949219	-76.514015
19466.015625	-77.027870
19509.082031	-75.671913
19552.148438	-75.648064
19595.214844	-76.080299
19638.281250	-77.036377
19681.347656	-77.592125
19724.414062	-76.605560
19767.480469	-76.601227
19810.546875	-76.353287
19853.613281	-77.026100
19896.679688	-76.634529
19939.746094	-76.398979
19982.812500	-76.875038
20025.878906	-76.890518
20068.945312	-77.128593
20112.011719	-77.063232
20155.078125	-77.030556
20198.144531	-77.438400
20241.210938	-77.516891
20284.277344	-76.451233
20327.343750	-77.066803
20370.410156	-77.171875
20413.476562	-76.897293
20456.542969	-77.723518
20499.609375	-78.163971
20542.675781	-78.304703
20585.742188	-77.199738
20628.808594	-77.783882
20671.875000	-77.551918
20714.941406	-77.768051
20758.007812	-77.918106
20801.074219	-78.800629
20844.140625	-78.666023
20887.207031	-78.690559
20930.273438	-79.442528
20973.339844	-79.337959
21016.406250	-79.888985
21059.472656	-80.749672
21102.539062	-80.847359
21145.605469	-81.252075
21188.671875	-80.913582
21231.738281	-80.578934
21274.804688	-81.037346
21317.871094	-82.633408
21360.937500	-83.109573
21404.003906	-83.167770
21447.070312	-83.831543
21490.136719	-83.880486
21533.203125	-84.353729
21576.269531	-84.061211
21619.335938	-84.393288
21662.402344	-84.627518
21705.468750	-80.932426
21748.535156	-81.998085
21791.601562	-86.551987
21834.667969	-87.724579
21877.734375	-87.671181
21920.800781	-87.410561
21963.867188	-87.488983
22006.933594	-89.570518
